source	run	sample	experiment	library_name	library_strategy	library_selection	library_source	library_layout	insert_size
PRJNA192205_runinfo.csv	SRR2107326	S_Up_H29_E	SRX1101078	RNA_143	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107327	S_Up_H32_E	SRX1101085	RNA_144	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2107220	S_Up_H47_E	SRX1100943	RNA_142	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106913	E_Vi_C57_E	SRX1100674	RNA_137	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106918	Pl_Wa_H23_Bp	SRX1100677	RNA_140	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106916	S_Up_H03_St	SRX1100675	RNA_138	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106917	S_Up_H09_E	SRX1100676	RNA_139	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106888	S_Up_H24_Bp	SRX1100657	RNA_136	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106836	D_Ko_C15_E	SRX1100654	RNA_133	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106828	Pl_Wa_H24_E	SRX1100653	RNA_132	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106802	S_Up_H03_E	SRX1100652	RNA_130	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
PRJNA192205_runinfo.csv	SRR2106849	S_Up_H03_Sh	SRX1100655	RNA_134	RNA-Seq	RANDOM PCR	TRANSCRIPTOMIC	PAIRED	0
